# radius         dens           pres           temp        c12          ne20          ne22
4670
1.382325288425102e+07  4.136046858770385e+09  3.220641070945037e+27  7.623101009953328e+08  1.419491948758701e-01  2.872982228387100e-01  0.000000000000000e+00
1.395783997958841e+07  4.127041701785745e+09  3.211258915121142e+27  7.614693882444555e+08  1.419495377821256e-01  2.872977467699355e-01  0.000000000000000e+00
1.409016358126362e+07  4.118128408496094e+09  3.201979263767419e+27  7.606363974647731e+08  1.419498766870323e-01  2.872972763850721e-01  0.000000000000000e+00
1.436965962479753e+07  4.104149991184684e+09  3.187439945636409e+27  7.593288511948854e+08  1.419504072491687e-01  2.872965401882931e-01  0.000000000000000e+00
1.453005175829102e+07  4.089264570280900e+09  3.171975512045107e+27  7.579327756950725e+08  1.419509704637572e-01  2.872957591372029e-01  0.000000000000000e+00
1.468739442897988e+07  4.078350272469707e+09  3.160648706691454e+27  7.569079349669172e+08  1.419513824657903e-01  2.872951879766191e-01  0.000000000000000e+00
1.484184068316384e+07  4.067560384351595e+09  3.149461026927649e+27  7.558934879288582e+08  1.419517888662791e-01  2.872946247699435e-01  0.000000000000000e+00
1.499353168906219e+07  4.056890124904581e+09  3.138407185712415e+27  7.548889593731232e+08  1.419521898467759e-01  2.872940692587310e-01  0.000000000000000e+00
1.517893358721351e+07  4.045034207146701e+09  3.126136509856323e+27  7.537714355537645e+08  1.419526343254209e-01  2.872934536883328e-01  0.000000000000000e+00
1.536048962786273e+07  4.032050405090408e+09  3.112712322069728e+27  7.525456757650589e+08  1.419531196800777e-01  2.872927817804061e-01  0.000000000000000e+00
1.554059202865833e+07  4.019151422666274e+09  3.099390162661634e+27  7.513259485960282e+08  1.419536004164840e-01  2.872921165332132e-01  0.000000000000000e+00
1.571717082803277e+07  4.006334328530490e+09  3.086166742437802e+27  7.501120304146831e+08  1.419540766315280e-01  2.872914578082238e-01  0.000000000000000e+00
1.589041032277275e+07  3.993671795044063e+09  3.073116662651278e+27  7.489109037797006e+08  1.419545456383073e-01  2.872908093130736e-01  0.000000000000000e+00
1.617517932172659e+07  3.976870366993902e+09  3.055822531826543e+27  7.473148390540110e+08  1.419551658706481e-01  2.872899520579288e-01  2.442490654175344e-15
1.631441748255977e+07  3.961361215054900e+09  3.039880599454602e+27  7.458372371233582e+08  1.419557355512326e-01  2.872891651921077e-01  0.000000000000000e+00
1.645167074288336e+07  3.951114573881187e+09  3.029359664432951e+27  7.448598990272267e+08  1.419561108281909e-01  2.872886470136597e-01  0.000000000000000e+00
1.664149511925997e+07  3.938895608196458e+09  3.016825707568907e+27  7.436931381936417e+08  1.419565570875057e-01  2.872880310234431e-01  0.000000000000000e+00
1.682774466151438e+07  3.924790277007354e+09  3.002373103761136e+27  7.423436874873083e+08  1.419570703207370e-01  2.872873229072672e-01  0.000000000000000e+00
1.703153334259010e+07  3.910047770540004e+09  2.987286385995987e+27  7.409308834066883e+08  1.419576046725543e-01  2.872865859847565e-01  2.442490654175344e-15
1.723133367672445e+07  3.894701861525747e+09  2.971602543713669e+27  7.394575039187566e+08  1.419581585501562e-01  2.872858225142176e-01  0.000000000000000e+00
1.742735914120520e+07  3.879549273669792e+09  2.956136680881311e+27  7.379997937964755e+08  1.419587031325876e-01  2.872850722266337e-01  0.000000000000000e+00
1.752401763613666e+07  3.868325810573416e+09  2.944694247359925e+27  7.369177852540020e+08  1.419591048660866e-01  2.872845190173838e-01  0.000000000000000e+00
